abbname,lga,supports,counselling,supportgroups,events,programs,information
Anangu Pitjantjatjara Yankunytjatjara,ANANGU PITJANTJATJARA YANKUNYTJATJARA,27,16,1,1,3,8
Maralinga Tjarutja,MARALINGA TJARUTJA,27,16,1,1,3,8
Unincorporated SA,PASTORAL UNINCORPORATED AREA,27,16,1,1,3,8
Adelaide,CITY OF ADELAIDE,44,23,4,5,4,10
Burnside,CITY OF BURNSIDE,36,21,1,3,3,8
Campbelltown (SA),CAMPBELLTOWN CITY COUNCIL,30,18,1,1,3,8
Mitcham,CITY OF MITCHAM,39,18,4,2,6,9
Mount Gambier,CITY OF MOUNT GAMBIER,31,19,2,1,4,10
Port Adelaide Enfield,CITY OF PORT ADELAIDE ENFIELD,36,19,1,2,4,9
Port Augusta,PORT AUGUSTA CITY COUNCIL,30,17,1,1,4,9
Port Lincoln,CITY OF PORT LINCOLN,30,16,2,1,5,10
Prospect,CITY OF PROSPECT,28,16,1,1,3,8
Salisbury,CITY OF SALISBURY,33,18,1,2,4,9
Unley,CITY OF UNLEY,30,16,1,1,3,8
Whyalla,THE CORPORATION OF THE CITY OF WHYALLA,29,17,1,1,4,9
Walkerville,THE CORPORATION OF THE TOWN OF WALKERVILLE,30,16,1,3,4,8
Gawler,TOWN OF GAWLER,30,16,1,3,4,9
Victor Harbor,CITY OF VICTOR HARBOR,30,16,2,1,4,9
Adelaide Hills,ADELAIDE HILLS COUNCIL,33,18,1,2,3,8
Adelaide Plains,ADELAIDE PLAINS COUNCIL,28,16,1,1,4,9
Alexandrina,ALEXANDRINA COUNCIL,29,16,1,1,4,9
Barossa,THE BAROSSA COUNCIL,28,16,1,1,4,9
Barunga West,BARUNGA WEST COUNCIL,27,16,1,1,3,8
Berri Barmera,THE BERRI BARMERA COUNCIL,30,17,1,1,5,9
Ceduna,THE DC OF CEDUNA,29,16,1,1,4,9
Clare and Gilbert Valleys,CLARE AND GILBERT VALLEYS COUNCIL,28,16,1,1,4,9
Cleve,THE DC OF CLEVE,28,16,1,1,4,9
Coober Pedy,THE DC OF COOBER PEDY,30,17,2,1,3,8
Coorong,COORONG DISTRICT COUNCIL,28,16,1,1,4,9
Copper Coast,COPPER COAST COUNCIL,29,16,1,1,4,9
Elliston,DC OF ELLISTON,27,16,1,1,3,8
Flinders Ranges,THE FLINDERS RANGES COUNCIL,27,16,1,1,3,8
Franklin Harbour,THE DC OF FRANKLIN HARBOUR,28,16,1,1,4,9
Goyder,THE REGIONAL COUNCIL OF GOYDER,28,16,1,1,4,9
Grant,THE DC OF GRANT,27,16,1,1,3,8
Kangaroo Island,KANGAROO ISLAND COUNCIL,27,16,1,1,3,8
Karoonda East Murray,THE DC OF KAROONDA EAST MURRAY,27,16,1,1,3,8
Kimba,THE DC OF KIMBA,28,16,1,1,4,9
Kingston (SA),KINGSTON DC,28,16,1,1,4,9
Light,LIGHT REGIONAL COUNCIL,27,16,1,1,3,8
Lower Eyre Peninsula,THE DC OF LOWER EYRE PENINSULA,28,16,1,1,4,9
Loxton Waikerie,THE DC OF LOXTON WAIKERIE,29,16,1,1,4,9
Mid Murray,MID MURRAY COUNCIL,29,16,1,1,4,9
Mount Barker,MOUNT BARKER DISTRICT COUNCIL,29,17,1,1,4,9
Mount Remarkable,THE DC OF MOUNT REMARKABLE,28,16,1,1,3,8
Naracoorte Lucindale,NARACOORTE LUCINDALE COUNCIL,28,16,1,1,4,9
Orroroo Carrieton,THE DC OF ORROROO CARRIETON,28,16,1,1,3,8
Northern Areas,NORTHERN AREAS COUNCIL,28,16,1,1,4,9
Wudinna,WUDINNA DISTRICT COUNCIL,27,16,1,1,3,8
Yankalilla,THE DC OF YANKALILLA,28,16,1,1,3,8
Yorke Peninsula,YORKE PENINSULA COUNCIL,28,16,1,1,4,9
Peterborough,THE DC OF PETERBOROUGH,28,16,1,1,4,9
Renmark Paringa,RENMARK PARINGA COUNCIL,28,16,1,1,4,9
Robe,DC OF ROBE,27,16,1,1,3,8
Southern Mallee,SOUTHERN MALLEE DC,27,16,1,1,3,8
Streaky Bay,THE DC OF STREAKY BAY,28,16,1,1,4,9
Tatiara,TATIARA DC,27,16,1,1,3,8
Tumby Bay,THE DC OF TUMBY BAY,28,16,1,1,4,9
Uia Torrens Island,UIA TORRENS ISLAND,27,16,1,1,3,8
Uia Whyalla,UIA WHYALLA,27,16,1,1,3,8
Wattle Range,WATTLE RANGE COUNCIL,28,16,1,1,4,9
Charles Sturt,CITY OF CHARLES STURT,38,19,2,5,4,10
Holdfast Bay,CITY OF HOLDFAST BAY,31,17,1,2,4,9
Marion,CITY OF MARION,32,18,1,1,5,9
Norwood Payneham and St Peters,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,34,19,3,2,3,8
Onkaparinga,CITY OF ONKAPARINGA,38,18,2,5,5,9
Playford,CITY OF PLAYFORD,35,20,1,1,5,10
Port Pirie,PORT PIRIE REGIONAL COUNCIL,29,16,2,1,4,9
Roxby Downs,MUNICIPAL COUNCIL OF ROXBY DOWNS,27,16,1,1,3,8
Tea Tree Gully,CITY OF TEA TREE GULLY,34,17,1,4,3,9
West Torrens,CITY OF WEST TORRENS,32,17,2,1,3,9
Murray Bridge,THE RURAL CITY OF MURRAY BRIDGE,31,17,2,1,5,9
Wakefield,WAKEFIELD REGIONAL COUNCIL,27,16,1,1,3,8
Uia Riverland,UIA RIVERLAND,27,16,1,1,3,8
